Time,CPU usage(%),Total CPU cores,Memory usage,Total memory,IO/sec in,IO/sec out,Network IO in,Network IO in,Swap total,Swap used
18:25:40,2.3,1,541600,1877,0,0,1,0,4031,1696
18:25:50,0.5,1,541204,1877,0,0,0,0,4031,1696
18:26:00,0.4,1,542596,1877,0,0,1,0,4031,1696
18:26:10,0.8,1,546476,1877,0,0,0,0,4031,1696
18:26:20,0.4,1,545948,1877,0,0,0,0,4031,1696
18:26:30,0.2,1,545296,1877,0,0,0,0,4031,1696
18:26:40,0.5,1,544520,1877,0,0,1,0,4031,1696
18:26:50,0.2,1,543724,1877,0,0,0,0,4031,1696
18:27:00,0.4,1,544864,1877,0,0,0,0,4031,1696
18:27:10,1.0,1,549124,1877,0,0,1,0,4031,1696
18:27:20,0.3,1,548344,1877,0,0,0,0,4031,1696
18:27:30,0.2,1,547552,1877,0,0,0,0,4031,1696
18:27:40,0.5,1,546760,1877,0,0,1,0,4031,1696
18:27:50,0.3,1,545960,1877,0,0,1,0,4031,1696
18:28:00,0.3,1,545028,1877,0,0,0,0,4031,1696
18:28:10,0.9,1,549140,1877,0,0,0,0,4031,1696
18:28:20,0.2,1,548472,1877,0,0,0,0,4031,1696
18:28:30,0.6,1,547556,1877,0,0,1,0,4031,1696
18:28:40,0.3,1,546764,1877,0,0,0,0,4031,1696
18:28:50,0.4,1,545972,1877,0,0,0,0,4031,1696
18:29:00,0.4,1,545144,1877,0,0,0,0,4031,1696
18:29:10,0.6,1,548872,1877,0,0,0,0,4031,1696
18:29:20,0.5,1,548456,1877,0,0,0,0,4031,1696
18:29:30,0.4,1,547664,1877,48,0,1,0,4031,1696
18:29:40,0.1,1,546748,1877,0,0,0,0,4031,1696
18:29:50,0.3,1,545944,1877,0,0,1,0,4031,1696
18:30:00,0.4,1,545132,1877,0,0,0,0,4031,1696
18:30:10,0.8,1,549264,1877,0,0,0,0,4031,1696
18:30:20,0.4,1,548464,1877,0,0,0,0,4031,1696
18:30:30,0.2,1,547672,1877,0,0,0,0,4031,1696
18:30:40,0.5,1,546756,1877,0,0,0,0,4031,1696
18:30:50,0.3,1,545956,1877,0,0,0,0,4031,1696
18:31:00,0.4,1,545132,1877,0,0,1,0,4031,1696
18:31:10,0.9,1,548864,1877,0,0,0,0,4031,1696
18:31:20,0.5,1,548444,1877,0,0,1,0,4031,1696
18:31:30,0.4,1,547652,1877,0,0,0,0,4031,1696
18:31:40,0.3,1,546728,1877,0,0,0,0,4031,1696
18:31:50,0.4,1,545928,1877,0,0,1,0,4031,1696
18:32:00,0.4,1,545132,1877,0,0,1,0,4031,1696
18:32:10,0.8,1,549232,1877,0,0,1,0,4031,1696
18:32:20,0.4,1,548440,1877,0,0,0,0,4031,1696
18:32:30,0.4,1,547644,1877,0,0,0,0,4031,1696
18:32:40,0.3,1,546720,1877,0,0,0,0,4031,1696
18:32:50,0.5,1,545912,1877,0,0,1,0,4031,1696
18:33:00,0.4,1,545104,1877,0,0,0,0,4031,1696
18:33:10,0.8,1,549224,1877,0,0,0,0,4031,1696
18:33:20,0.3,1,548432,1877,0,0,0,0,4031,1696
18:33:30,0.4,1,547632,1877,80,0,0,0,4031,1696
18:33:40,0.4,1,546828,1877,0,0,1,0,4031,1696
18:33:50,0.4,1,545904,1877,0,0,0,0,4031,1696
18:34:00,0.5,1,545104,1877,0,0,0,0,4031,1696
18:34:10,0.8,1,548952,1877,0,0,0,0,4031,1696
18:34:20,0.3,1,548408,1877,0,0,0,0,4031,1696
18:34:30,0.3,1,547616,1877,0,0,0,0,4031,1696
18:34:40,0.4,1,546824,1877,0,0,0,0,4031,1696
18:34:50,0.3,1,545908,1877,0,0,1,0,4031,1696
18:35:00,0.5,1,545100,1877,0,0,0,0,4031,1696
18:35:10,0.7,1,548828,1877,0,0,0,0,4031,1696
18:35:20,0.4,1,548404,1877,0,0,0,0,4031,1696
18:35:30,0.4,1,547600,1877,0,0,0,0,4031,1696
18:35:40,0.3,1,546808,1877,0,0,0,0,4031,1696
18:35:50,0.4,1,545892,1877,0,0,0,0,4031,1696
18:36:00,0.4,1,545092,1877,0,0,0,0,4031,1696
18:36:10,0.7,1,548816,1877,0,0,1,0,4031,1696
18:36:20,0.5,1,548396,1877,0,0,0,0,4031,1696
18:36:30,0.2,1,547604,1877,0,0,1,0,4031,1696
18:36:40,0.5,1,546812,1877,0,0,0,0,4031,1696
18:36:50,0.3,1,545888,1877,0,0,0,0,4031,1696
18:37:00,0.3,1,545092,1877,0,0,1,0,4031,1696
18:37:10,0.8,1,549064,1877,0,0,0,0,4031,1696
18:37:20,0.6,1,548412,1877,0,0,1,0,4031,1696
18:37:30,0.5,1,547620,1877,0,0,1,0,4031,1696
18:37:40,0.3,1,546804,1877,0,0,1,0,4031,1696
18:37:50,0.4,1,545888,1877,0,0,0,0,4031,1696
18:38:00,0.3,1,545064,1877,0,0,0,0,4031,1696
18:38:10,0.9,1,548928,1877,0,0,1,0,4031,1696
18:38:20,0.2,1,548384,1877,0,0,0,0,4031,1696
18:38:30,0.3,1,547592,1877,0,0,0,0,4031,1696
18:38:40,0.3,1,546796,1877,0,0,0,0,4031,1696
18:38:50,0.3,1,545996,1877,0,0,1,0,4031,1696
18:39:00,0.4,1,545072,1877,0,0,0,0,4031,1696
18:39:10,0.8,1,549048,1877,0,0,0,0,4031,1696
18:39:20,0.4,1,548376,1877,0,0,0,0,4031,1696
18:39:30,0.3,1,547584,1877,0,0,1,0,4031,1696
18:39:40,0.3,1,546784,1877,0,0,0,0,4031,1696
18:39:50,0.5,1,545992,1877,0,0,0,0,4031,1696
18:40:00,0.5,1,545052,1877,0,0,0,0,4031,1696
18:40:10,0.7,1,549296,1877,0,0,1,0,4031,1696
18:40:20,0.4,1,548504,1877,0,0,0,0,4031,1696
18:40:30,0.4,1,547580,1877,0,0,0,0,4031,1696
18:40:40,0.4,1,546788,1877,0,0,1,0,4031,1696
18:40:50,0.3,1,545988,1877,0,0,0,0,4031,1696
18:41:00,0.3,1,545188,1877,0,0,0,0,4031,1696
18:41:10,0.8,1,549020,1877,0,0,0,0,4031,1696
18:41:20,0.3,1,548476,1877,0,0,0,0,4031,1696
18:41:30,0.4,1,547680,1877,0,0,0,0,4031,1696
18:41:40,0.4,1,546764,1877,0,0,0,0,4031,1696
18:41:50,0.4,1,545956,1877,0,0,0,0,4031,1696
18:42:00,0.4,1,545148,1877,0,0,0,0,4031,1696
18:42:10,0.8,1,549260,1877,0,0,0,0,4031,1696
18:42:20,0.3,1,548468,1877,0,0,1,0,4031,1696
18:42:30,0.5,1,547676,1877,0,0,1,0,4031,1696
18:42:40,0.3,1,546760,1877,0,0,1,0,4031,1696
18:42:50,0.4,1,545960,1877,0,0,0,0,4031,1696
18:43:00,0.3,1,545152,1877,0,0,0,0,4031,1696
18:43:10,0.9,1,549136,1877,0,0,0,0,4031,1696
18:43:20,0.4,1,548468,1877,0,0,0,0,4031,1696
18:43:30,0.3,1,547676,1877,0,0,1,0,4031,1696
18:43:40,0.5,1,546876,1877,0,0,0,0,4031,1696
18:43:50,0.4,1,545960,1877,0,0,0,0,4031,1696
18:44:00,0.4,1,545152,1877,0,0,0,0,4031,1696
18:44:10,0.8,1,549128,1877,0,0,0,0,4031,1696
18:44:20,0.2,1,548456,1877,72,0,1,0,4031,1696
18:44:30,0.4,1,547656,1877,0,0,1,0,4031,1696
18:44:40,0.4,1,546864,1877,0,0,1,0,4031,1696
18:44:50,0.4,1,545944,1877,0,0,0,0,4031,1696
18:45:00,0.4,1,545128,1877,0,0,0,0,4031,1696
18:45:10,0.8,1,549248,1877,0,0,0,0,4031,1696
18:45:20,0.4,1,548456,1877,0,0,0,0,4031,1696
18:45:30,0.4,1,547644,1877,0,0,0,0,4031,1696
18:45:40,0.4,1,546852,1877,0,0,0,0,4031,1696
18:45:50,0.3,1,546060,1877,0,0,0,0,4031,1696
18:46:00,0.4,1,545128,1877,0,0,0,0,4031,1696
18:46:10,0.7,1,549240,1877,0,0,0,0,4031,1696
18:46:20,0.4,1,548448,1877,0,0,0,0,4031,1696
18:46:30,0.4,1,547652,1877,0,0,0,0,4031,1696
18:46:40,0.3,1,546844,1877,0,0,0,0,4031,1696
18:46:50,0.4,1,546052,1877,0,0,1,0,4031,1696
18:47:00,0.4,1,545112,1877,0,0,1,0,4031,1696
18:47:10,0.8,1,549228,1877,0,0,1,0,4031,1696
18:47:20,0.4,1,548428,1877,0,0,1,0,4031,1696
18:47:30,0.4,1,547636,1877,0,0,0,0,4031,1696
18:47:40,0.4,1,546844,1877,0,0,0,0,4031,1696
18:47:50,0.3,1,546044,1877,0,0,0,0,4031,1696
18:48:00,0.4,1,545112,1877,0,0,0,0,4031,1696
18:48:10,0.6,1,549088,1877,0,0,0,0,4031,1696
18:48:20,0.4,1,548420,1877,0,0,0,0,4031,1696
18:48:30,0.4,1,547628,1877,0,0,0,0,4031,1696
18:48:40,0.4,1,546836,1877,0,0,1,0,4031,1696
18:48:50,0.4,1,546036,1877,48,0,1,0,4031,1696
18:49:00,0.3,1,545236,1877,0,0,1,0,4031,1696
18:49:10,0.8,1,549328,1877,0,0,0,0,4031,1696
18:49:20,0.4,1,548536,1877,0,0,0,0,4031,1696
